id,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_tenure_years,days_since_last_review,listing_age_years,n_amenities,amenity_wifi,amenity_kitchen,amenity_parking,amenity_heating,amenity_ac,amenity_tv,amenity_washer,amenity_dryer,amenity_dishwasher,amenity_free_street_parking,amenity_private_entrance,amenity_dedicated_workspace,amenity_self_checkin,amenity_pets_allowed,amenity_bathtub,price
35405830,81492503,2016-07-03,"Massachusetts, United States",,,,False,West Roxbury,3.0,3.0,True,False,West Roxbury,42.266,-71.16495,Private room in home,Private room,2,1.5,1.0,1.0,"[""Children\u2019s dinnerware"", ""Backyard"", ""Heating"", ""Dishwasher"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""High chair"", ""Refrigerator"", ""Essentials"", ""Cooking basics"", ""Patio or balcony"", ""Children\u2019s books and toys"", ""TV"", ""Hangers"", ""Wifi"", ""Long term stays allowed"", ""Washer"", ""Extra pillows and blankets"", ""Air conditioning"", ""Luggage dropoff allowed"", ""Bed linens"", ""Oven"", ""Dryer"", ""Crib"", ""Kitchen"", ""Microwave"", ""Stove"", ""Free parking on premises"", ""Changing table"", ""Pack \u2019n play/Travel crib"", ""Dishes and silverware"", ""Free street parking""]",91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,True,30,60,90,269,0,0,0,99,0,0,,,,,,,,,,True,3,1,2,0,,9.415468856947296,,,32,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,802.0
37718326,275833371,2019-07-13,"Boston, MA",,,,False,Theater District,2.0,7.0,True,False,Downtown,42.35473,-71.0622,Entire condo,Entire home/apt,6,3.0,2.0,3.0,"[""Pool"", ""Heating"", ""Wifi"", ""Washer"", ""Breakfast"", ""Shampoo"", ""Iron"", ""TV"", ""Air conditioning"", ""Elevator"", ""Hangers"", ""Gym"", ""Dryer"", ""Kitchen""]",91,150,91.0,91.0,150.0,150.0,91.0,150.0,True,30,60,90,365,0,0,0,99,0,0,,,,,,,,,,False,2,2,0,0,,6.3901437371663246,,,14,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,300.0
29217949,220130358,2018-10-11,"Boston, MA",within an hour,100.0,98.0,False,West Roxbury,4.0,4.0,True,True,West Roxbury,42.27302,-71.14923,Private room in home,Private room,1,1.0,1.0,1.0,"[""Toaster"", ""Backyard"", ""Heating"", ""Smoke alarm"", ""Iron"", ""Clothing storage: dresser"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Essentials"", ""Refrigerator"", ""Freezer"", ""Dining table"", ""Portable fans"", ""Shampoo"", ""Keypad"", ""Hot water kettle"", ""Wifi"", ""Long term stays allowed"", ""Washer"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Air conditioning"", ""Luggage dropoff allowed"", ""Dryer"", ""Kitchen"", ""Microwave"", ""Stove"", ""Self check-in"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Coffee maker"", ""Free driveway parking on premises"", ""Free street parking"", ""Hot water""]",1,15,1.0,1.0,1125.0,1125.0,1.0,1125.0,True,24,54,84,264,120,11,2,94,10,66,2018-10-21,2025-09-06,4.71,4.8,4.75,4.87,4.8,4.65,4.66,False,4,0,4,0,1.42,7.143052703627652,87.0,7.115674195756331,34,True,True,True,True,True,False,True,True,False,True,False,True,True,False,False,66.0
695608646617952363,814298,2011-07-13,"Boston, MA",within an hour,100.0,100.0,False,Beacon Hill,79.0,112.0,True,True,Beacon Hill,42.35738,-71.07152,Entire rental unit,Entire home/apt,7,2.0,3.0,3.0,"[""Toaster"", ""Free washer \u2013 In unit"", ""Dishwasher"", ""Smoke alarm"", ""Stainless steel oven"", ""Elevator"", ""Iron"", ""Carbon monoxide alarm"", ""Exterior security cameras on property"", ""Stainless steel stove"", ""Cooking basics"", ""Hair dryer"", ""Essentials"", ""Refrigerator"", ""Laundromat nearby"", ""Free dryer \u2013 In unit"", ""Freezer"", ""Dining table"", ""Smart lock"", ""Shampoo"", ""Paid parking lot on premises \u2013 1 space"", ""Hangers"", ""Wine glasses"", ""Coffee"", ""Cleaning products"", ""Wifi"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Bed linens"", ""55 inch HDTV with Roku"", ""Central heating"", ""Shower gel"", ""Kitchen"", ""Microwave"", ""Body soap"", ""Conditioner"", ""Bathtub"", ""Clothing storage: closet"", ""Self check-in"", ""Central air conditioning"", ""Dishes and silverware"", ""Children's playroom"", ""Room-darkening shades"", ""Coffee maker: drip coffee maker"", ""Hot water""]",2,1000,1.0,7.0,365.0,365.0,5.6,365.0,True,11,36,58,67,84,28,0,67,37,168,2022-09-09,2025-07-21,4.82,4.87,4.8,4.9,4.86,4.94,4.61,True,57,27,30,0,2.27,14.390143737166325,134.0,3.23066392881588,47,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,788.0
1283855168566153755,21745230,2014-09-24,"Boston, MA",within an hour,100.0,97.0,True,Cambridge,22.0,26.0,True,True,Charlestown,42.38395,-71.07739,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,"[""Hair dryer"", ""Heating"", ""Wifi"", ""Self check-in"", ""Fire extinguisher"", ""Washer"", ""Smoke alarm"", ""Free parking on premises"", ""Smart lock"", ""Iron"", ""Air conditioning"", ""TV"", ""Carbon monoxide alarm"", ""First aid kit"", ""Dedicated workspace"", ""Exterior security cameras on property"", ""Cooking basics"", ""Kitchen""]",1,365,1.0,1.0,365.0,365.0,1.0,365.0,True,0,10,32,206,0,0,0,35,0,0,,,,,,,,,,False,12,3,9,0,,11.189596167008895,,,18,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,144.0
6762011,22348222,2014-10-09,"Massachusetts, United States",within an hour,100.0,100.0,False,Beacon Hill,120.0,136.0,True,True,South End,42.34441,-71.07633,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,"[""Toaster"", ""Heating"", ""Smoke alarm"", ""Iron"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Refrigerator"", ""Essentials"", ""Smart lock"", ""Paid parking off premises"", ""Shampoo"", ""TV"", ""Hangers"", ""Wifi"", ""Long term stays allowed"", ""Washer"", ""Dedicated workspace"", ""Bed linens"", ""Dryer"", ""Kitchen"", ""Microwave"", ""Self check-in"", ""Coffee maker"", ""Dishes and silverware"", ""Hot water""]",1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,True,0,2,20,203,189,34,5,20,20,204,2016-10-23,2025-09-15,4.52,4.67,4.68,4.81,4.82,4.92,4.32,True,86,86,0,0,1.74,11.148528405201915,78.0,9.1088295687885,25,True,True,True,True,False,True,True,True,False,False,False,True,True,False,False,107.0
48454886,107434423,2016-12-16,"New York, NY",within an hour,100.0,96.0,False,Cambridge,5084.0,5865.0,True,True,Back Bay,42.3505139,-71.089844,Entire loft,Entire home/apt,4,1.0,2.0,2.0,"[""Heating"", ""Dishwasher"", ""Smoke alarm"", ""Private entrance"", ""Iron"", ""Carbon monoxide alarm"", ""Washer \u2013\u00a0In building"", ""High chair"", ""Hair dryer"", ""Essentials"", ""Refrigerator"", ""Cooking basics"", ""Lockbox"", ""Pets allowed"", ""Shampoo"", ""TV"", ""Hangers"", ""Wifi"", ""Long term stays allowed"", ""Air conditioning"", ""Bed linens"", ""Oven"", ""Crib"", ""Kitchen"", ""Microwave"", ""Self check-in"", ""Dryer \u2013 In building"", ""Coffee maker"", ""Hot water""]",32,1125,30.0,335.0,1125.0,1125.0,46.5,1125.0,True,0,15,45,209,0,0,0,54,0,0,,,,,,,,,,True,343,343,0,0,,8.960985626283367,,,29,True,True,False,True,True,True,True,True,True,False,True,False,True,True,False,303.0
52468803,424705245,2021-09-26,"Boston, MA",within an hour,100.0,84.0,True,South End,1.0,1.0,True,False,South End,42.34417,-71.07051,Entire condo,Entire home/apt,2,1.0,1.0,1.0,"[""Toaster"", ""Dishwasher"", ""Radiant heating"", ""Smoke alarm"", ""Iron"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Hair dryer"", ""Essentials"", ""Ceiling fan"", ""Refrigerator"", ""Lockbox"", ""Freezer"", ""Portable fans"", ""Portable air conditioning"", ""Hot water kettle"", ""Hangers"", ""Wine glasses"", ""Cleaning products"", ""Books and reading material"", ""Wifi"", ""Extra pillows and blankets"", ""Bed linens"", ""Oven"", ""Kitchen"", ""Microwave"", ""Stove"", ""Body soap"", ""Bathtub"", ""Self check-in"", ""Fire extinguisher"", ""Dishes and silverware"", ""TV with Roku"", ""Hot water""]",3,60,1.0,3.0,1125.0,1125.0,2.7,1125.0,True,1,17,28,52,100,17,3,29,26,102,2022-01-02,2025-09-15,4.99,4.97,4.93,4.94,4.99,4.99,4.84,False,1,1,0,0,2.2,4.183436002737851,78.0,3.915126625598905,34,True,True,False,True,True,True,True,True,True,False,False,False,True,False,True,275.0
48960774,229143484,2018-12-04,"Boston, MA",within a few hours,71.0,92.0,False,Codman Square,1.0,15.0,True,True,Dorchester,42.2807,-71.07172,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,"[""Toaster"", ""Heating"", ""Dishwasher"", ""Smoke alarm"", ""Private entrance"", ""Iron"", ""Carbon monoxide alarm"", ""First aid kit"", ""Baking sheet"", ""Cooking basics"", ""Hair dryer"", ""Essentials"", ""Refrigerator"", ""Lockbox"", ""Freezer"", ""Dining table"", ""Shampoo"", ""TV"", ""Hot water kettle"", ""Hangers"", ""Wine glasses"", ""Coffee"", ""Mini fridge"", ""Rice maker"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace"", ""Air conditioning"", ""Luggage dropoff allowed"", ""Bed linens"", ""Oven"", ""Shared patio or balcony"", ""Kitchen"", ""Microwave"", ""Stove"", ""Body soap"", ""Conditioner"", ""Bathtub"", ""Self check-in"", ""Fire extinguisher"", ""Coffee maker"", ""Dishes and silverware"", ""Room-darkening shades"", ""Free street parking"", ""Hot water""]",1,30,1.0,1.0,1125.0,1125.0,1.0,1125.0,True,28,58,88,363,49,7,1,97,14,42,2021-09-05,2025-08-31,4.88,4.84,4.98,4.98,4.98,4.8,4.8,True,1,1,0,0,0.99,6.995208761122519,93.0,4.240930869267625,45,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,228.0
1022432953309125008,15154687,2014-05-05,"Massachusetts, United States",within an hour,100.0,100.0,False,Wellington-Harrington,55.0,56.0,True,True,Allston,42.359346922456304,-71.13100193016858,Private room in home,Private room,2,1.0,1.0,2.0,"[""Refrigerator"", ""Essentials"", ""Microwave"", ""Bathtub"", ""Heating"", ""Wifi"", ""Long term stays allowed"", ""Self check-in"", ""Smoke alarm"", ""Shampoo"", ""Lock on bedroom door"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Keypad"", ""Bed linens"", ""Bidet"", ""Hot water""]",1,365,1.0,1.0,1125.0,1125.0,1.0,1125.0,True,16,44,74,349,148,83,3,84,82,255,2023-11-17,2025-09-13,4.7,4.81,4.69,4.95,4.87,4.86,4.69,True,17,0,17,0,6.56,11.578370978781656,80.0,2.0424366872005475,18,True,False,False,True,True,False,False,False,False,False,False,True,True,False,True,81.0
